ecosys,mvg,cmz,areatot,areaeff,areatot_connadj,areaeff_connadj,areatot_compcorr,areaeff_compcorr,areatot_connadj_compcorr,areaeff_connadj_compcorr,areaeff_scaled,log_areatot,delta_persist_1ha,cons_sig
469,21,9,143739.36000000002,68540.23828125,143739.36000000002,19317.9399609375,331396.5114156673,175223.92484418518,331396.5114156673,63495.91149477205,0.19160102568228235,12.711070857110705,2.604900500968732e-06,0.6271186440677966
351,16,6,2488.32,1303.4084545898438,2488.32,236.4421096801758,167169.0820224369,127086.40417852599,167169.0820224369,80836.9598660219,0.4835640591432585,12.02676104639989,2.578941706077309e-06,0.6246973365617433
21,1,21,236667.42,130781.15718750001,236667.42,25081.482304687503,461679.2450057657,258260.97388050807,461679.2450057657,60844.98110905211,0.13179059220713343,13.042625654064167,2.475618239849986e-06,0.6222760290556901
229,10,22,176430.15000000002,50601.668203125,176430.15000000002,19819.454941406253,386330.30488034396,156515.78888817935,386330.30488034396,66170.4672364427,0.17127951496566474,12.86444799465932,2.4305228163434833e-06,0.6198547215496368
402,18,11,116602.74,73502.45015625001,116602.74,20290.569609375,243045.7012926503,167310.3249110652,243045.7012926503,78620.08396425055,0.32347860318493943,12.401004775802692,2.3980919081623142e-06,0.6174334140435835
371,17,3,42729.93,24117.64400390625,42729.93,6875.856650390626,290421.57412885677,160608.03789790336,290421.57412885677,74463.48953208522,0.25639792689453095,12.579088850250663,2.389038037509117e-06,0.6150121065375302
498,22,15,1670.22,427.24622680664066,1670.22,92.19418739318849,236476.23130246546,148943.6037758922,236476.23130246546,82244.18021888827,0.34779047249655154,12.373602979971148,2.3343301133182948e-06,0.612590799031477
7,1,7,38773.08,10147.253642578125,38773.08,1513.629656982422,494657.8813600947,221680.35392062567,494657.8813600947,65168.992598124554,0.1317455863008552,13.111621653829925,2.3111627047711636e-06,0.6101694915254238
130,6,15,27228.960000000003,13262.226503906251,27228.960000000003,2642.6965869140627,507824.85441340634,212765.11800613863,507824.85441340634,68270.31288468269,0.13443673008786153,13.137891892335372,2.2173549261150782e-06,0.6077481840193705
496,22,13,13170.6,3601.812919921875,13170.6,555.5236486816407,326729.25964079186,174717.65249777236,326729.25964079186,80527.96206806293,0.24646694378273884,12.696887154768856,2.1874138004251975e-06,0.6053268765133172
676,32,9,144268.29,95489.38757812501,144268.29,38078.777109375005,243720.00718586042,163103.71384119734,243720.00718586042,89643.70152963631,0.3678142905242662,12.403775333846513,2.1718286639105244e-06,0.6029055690072639
251,11,21,20254.86,1731.9204052734376,20254.86,152.68411010742187,485845.6122158082,200982.64566606146,485845.6122158082,71857.15385442977,0.14790120986522665,13.093646182076878,2.1575489733693942e-06,0.6004842615012107
379,17,11,247163.40000000002,59937.323203125,247163.40000000002,6699.774990234376,509871.25814386987,194059.9482309753,509871.25814386987,71152.80626792689,0.1395505338483892,13.141913537821408,2.147477202285586e-06,0.5980629539951574
420,19,6,3789.1800000000003,2023.8811083984376,3789.1800000000003,535.7221051025391,712954.9040590144,235249.60658817866,712954.9040590144,64865.713774447024,0.09098151005786168,13.477173449232108,2.1167061994287195e-06,0.5956416464891041
